               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076711,            0.025873,            0.026185,             0.26858,             0.44997,             0.27315,            0.094959,            0.041065,           0.0086816,            0.018253,            0.070184,           0.0033129,           0.0033129
                   1,            0.053442,            0.019602,              0.0208,             0.35873,             0.42369,             0.31925,             0.12126,            0.038181,           0.0075708,            0.016543,            0.040052,           0.0065146,           0.0065146
                   2,            0.052271,            0.018544,             0.01826,             0.48286,             0.50784,             0.45098,             0.17416,            0.038561,           0.0070771,            0.015115,           0.0097889,           0.0095844,           0.0095844
                   3,            0.051077,            0.019022,            0.017757,             0.38669,             0.36449,              0.3136,              0.1186,              0.0394,           0.0080265,            0.015495,            0.009406,            0.009406,            0.009406
                   4,            0.047948,            0.018388,            0.016958,             0.44439,              0.4335,             0.39973,             0.16083,            0.041148,           0.0078888,            0.015847,            0.009406,            0.009406,            0.009406
                   5,             0.04753,            0.018336,            0.015985,             0.54481,             0.53987,              0.5153,             0.19068,            0.036047,           0.0072131,            0.013268,            0.009208,            0.009208,            0.009208
                   6,             0.04541,            0.017677,            0.015392,             0.60534,             0.64292,             0.61787,             0.27854,            0.033353,           0.0065986,             0.01295,             0.00901,             0.00901,             0.00901
                   7,            0.045298,            0.017463,            0.014926,             0.58071,             0.59161,             0.59028,             0.24921,            0.033861,           0.0068178,            0.015073,            0.008812,            0.008812,            0.008812
                   8,            0.044179,            0.017735,            0.014088,             0.62308,             0.62485,             0.61722,             0.24884,            0.032754,           0.0069518,            0.010881,            0.008614,            0.008614,            0.008614
                   9,             0.04277,            0.017191,            0.013458,             0.66551,             0.69254,             0.70311,             0.31181,            0.031427,           0.0064374,           0.0095084,            0.008416,            0.008416,            0.008416
                  10,            0.042228,             0.01658,            0.012246,             0.71078,             0.59835,             0.64399,             0.25785,            0.032941,           0.0067894,            0.012291,            0.008218,            0.008218,            0.008218
                  11,            0.042191,             0.01689,            0.012927,             0.64378,             0.63961,             0.62499,             0.27816,            0.032014,           0.0064796,           0.0093574,             0.00802,             0.00802,             0.00802
                  12,            0.041493,            0.016808,            0.011063,             0.68985,             0.67218,             0.67899,             0.31347,            0.030922,           0.0068485,           0.0095784,            0.007822,            0.007822,            0.007822
                  13,            0.041125,            0.016785,            0.011152,             0.71835,             0.72718,             0.74164,             0.33721,            0.030894,           0.0060742,           0.0087078,            0.007624,            0.007624,            0.007624
